dealerlocator_id,dealer_name,dealer_address1,dealer_address2,dealer_city,dealer_state,dealer_country,dealer_zip,dealer_phone,dealer_email,dealer_latitude,dealer_longitude,status,created_time,update_time,dealer_fax,dealer_store_status,dealer_group_id,dealer_county,store_google_calendar,dealer_store_number,cms_blocks,closes_cities,closes_zip
2766,"A.C. Moore","The Point Shopping Center","4219 Union Deposit Rd",Harrisburg,PA,,17111,"(717) 561-8110",,40.2700804,-76.7913558,1,"2013-03-27 01:41:17","2013-03-27 01:41:17",NULL,Open,0,NULL,spc013@acmoore.com,13,NULL,NULL,NULL
2767,"A.C. Moore","Hamilton Plaza","1245 State Highway Route 33","Hamilton Twp",NJ,,08690,"(609) 587-1636",,40.2246660,-74.6526030,1,"2013-03-27 01:39:52","2013-03-27 01:39:52",NULL,Open,0,NULL,spc014@acmoore.com,14,NULL,NULL,NULL
2768,"A.C. Moore","978 Bethlehem Pike",,"Montgomeryville ",PA,,18936,"(215) 699-7224",,40.2264595,-75.2350026,1,"2013-03-27 01:39:19","2013-03-27 01:39:19",NULL,Open,0,NULL,spc015@acmoore.com,15,NULL,NULL,NULL
2769,"A.C. Moore","New Loudon Shopping Center ","873 New Loudon Road, Suite 6",Latham,NY,,12110,"(518) 782-0095",,42.7539447,-73.7830861,1,"2013-03-27 01:38:37","2013-03-27 01:38:37",NULL,Open,0,NULL,spc016@acmoore.com,16,NULL,NULL,NULL
2770,"A.C. Moore","Lancaster Shopping Center     ","1515 Lititz Pike ","Lancaster ",PA,,17601,"(717) 291-1140",,40.0658363,-76.3068812,1,"2013-03-27 01:37:50","2013-03-27 01:37:50",NULL,Open,0,NULL,spc017@acmoore.com,17,NULL,NULL,NULL
2771,"A.C. Moore","The Centre at Dover ","277 N. Dupont Highway","Dover ",DE,,19901,"(302) 674-9870",,39.1581680,-75.5243682,1,"2013-03-27 01:36:43","2013-03-27 01:36:43",NULL,Open,0,NULL,spc018@acmoore.com,18,NULL,NULL,NULL
2772,"A.C. Moore",,"88 Dunning Road #27",Middletown,NY,,10940,"(845) 344-6090",,41.4459271,-74.4229341,1,"2013-04-30 01:25:06","2013-04-30 01:25:06",NULL,Open,0,NULL,spc019@acmoore.com,19,NULL,NULL,NULL
2773,"A.C. Moore","Brandywine Square","1050 East Lancaster Avenue","Downingtown ",PA,,19335,"(610) 873-3150",,40.0178630,-75.6800608,1,"2013-03-27 01:35:20","2013-03-27 01:35:20",NULL,Open,0,NULL,spc020@acmoore.com,20,NULL,NULL,NULL
2774,"A.C. Moore","Alpine Shopping Center","1404 Rt 9    #A101","Wappingers Falls",NY,,12590,"(845) 297-4693",,41.5964825,-73.9109700,1,"2013-04-30 01:23:50","2013-04-30 01:23:50",NULL,Open,0,NULL,spc021@acmoore.com,21,NULL,NULL,NULL
2775,"A.C. Moore","Rockland Center","165 Rockland Center    ",Nanuet,NY,,10954,"(845) 624-2077",,41.0921862,-74.0021822,1,"2013-04-30 01:24:50","2013-04-30 01:24:50",NULL,Open,0,NULL,spc022@acmoore.com,22,NULL,NULL,NULL
2776,"A.C. Moore","Christmas Tree Plaza","210 A Indian River Rd P.O. Box 594",Orange,CT,,06477,"(203) 795-9450",,41.2786370,-73.0265277,1,"2013-03-27 01:19:19","2013-03-27 01:19:19",NULL,Open,0,NULL,spc023@acmoore.com,23,NULL,NULL,NULL
2777,"A.C. Moore","Shoppers World","One Worcester Road","Framingham ",MA,,01701,"(508) 620-7560",,42.2992408,-71.4430969,1,"2013-04-30 01:23:36","2013-04-30 01:23:36",NULL,Open,0,NULL,spc025@acmoore.com,25,NULL,NULL,NULL
2778,"A.C. Moore","Dickson City Crossings","628 Commerce Blvd.","Dickson City",PA,,18519,"(570) 961-5590",,41.4681487,-75.6418601,1,"2013-03-27 01:17:14","2013-03-27 01:17:14",NULL,Open,0,NULL,spc026@acmoore.com,26,NULL,NULL,NULL
2779,"A.C. Moore","Marketfair North Shopping Center","4154 Route 31                     ",Clay,NY,,13041,"(315) 622-2725",,43.1929520,-76.2131474,1,"2013-04-30 01:27:11","2013-04-30 01:27:11",NULL,Open,0,NULL,spc027@acmoore.com,27,NULL,NULL,NULL
2780,"A.C. Moore","Avenues at White Marsh ","8115 D Honeygo Blvd       ",Nottingham,MD,,21236,"(410) 931-7580",,39.3794196,-76.4599043,1,"2013-03-27 01:16:02","2013-03-27 01:16:02",NULL,Open,0,NULL,spc028@acmoore.com,28,NULL,NULL,NULL
2781,"A.C. Moore","Staples Plaza  ","3333 Crompond  Rd","Yorktown Hts ",NY,,10598,"(914) 734-4450",,41.2899850,-73.8308590,1,"2013-04-30 01:25:19","2013-04-30 01:25:19",NULL,Open,0,NULL,spc029@acmoore.com,29,NULL,NULL,NULL
2782,"A.C. Moore","Crossroads Shopping Center","225 Hartford Ave              ","Bellingham ",MA,,02019,"(508) 966-3335",,42.1126424,-71.4709043,1,"2013-04-30 01:27:24","2013-04-30 01:27:24",NULL,Open,0,NULL,spc030@acmoore.com,30,NULL,NULL,NULL
2783,"A.C. Moore","Governor Plaza Shopping Center","6625A Governor Ritchie Hwy","Glen Burnie ",MD,,21061,"(410) 582-9346",,39.1959977,-76.6132421,1,"2013-04-30 01:25:31","2013-04-30 01:25:31",NULL,Open,0,NULL,spc031@acmoore.com,31,NULL,NULL,NULL
2784,"A.C. Moore","Liberty Tree Mall","100 Independence Way","Danvers ",MA,,01923,"(978) 750-0420",,42.5526258,-70.9392497,1,"2013-04-30 01:25:43","2013-04-30 01:25:43",NULL,Open,0,NULL,spc032@acmoore.com,32,NULL,NULL,NULL
2785,"A.C. Moore","Holyoke Mall","50 Holyoke St. P.O. Box 10264","Holyoke ",MA,,01040,"(413) 533-6804",,42.2042586,-72.6162009,1,"2013-03-27 01:08:57","2013-03-27 01:08:57",NULL,Open,0,NULL,spc033@acmoore.com,33,NULL,NULL,NULL
2786,"A.C. Moore","Assembly Square   ","145 Middlesex Avenue",Somerville,MA,,02145,"(617) 628-5957",,42.3944387,-71.0835097,1,"2013-04-30 01:25:57","2013-04-30 01:25:57",NULL,Open,0,NULL,spc034@acmoore.com,34,NULL,NULL,NULL
2787,"A.C. Moore","      ","544 West  Gate Drive   ",Brockton,MA,,02301,"(508) 584-9933",,42.0725522,-71.0378909,1,"2013-04-30 01:26:11","2013-04-30 01:26:11",NULL,Open,0,NULL,spc035@acmoore.com,35,NULL,NULL,NULL
2788,"A.C. Moore","Turnpike Plaza","255 Amherst Street",Nashua,NH,,03063,"(603) 598-6684",,42.7788904,-71.4976151,1,"2013-03-27 01:00:14","2013-03-27 01:00:14",NULL,Open,0,NULL,spc037@acmoore.com,37,NULL,NULL,NULL
2789,"A.C. Moore","Cowesett Corners ","300 Quaker Lane Suite 10",Warwick,RI,,02886-0158,"(401) 823-7400",,41.6895740,-71.4979850,1,"2013-04-30 01:26:23","2013-04-30 01:26:23",NULL,Open,0,NULL,spc038@acmoore.com,38,NULL,NULL,NULL
2790,"A.C. Moore","Towne Ctr. West Shopping Center","494 State Road ","N. Dartmouth ",MA,,02747,"(508) 992-4441",,41.6419489,-71.0043130,1,"2013-04-30 01:26:45","2013-04-30 01:26:45",NULL,Open,0,NULL,spc039@acmoore.com,39,NULL,NULL,NULL
2791,"A.C. Moore","Connecticut Commons ","284 New Britain Ave",Plainville,CT,,06062,"(860) 747-4345",,41.6758242,-72.8403768,1,"2013-03-27 12:57:14","2013-03-27 12:57:14",NULL,Open,0,NULL,spc040@acmoore.com,40,NULL,NULL,NULL
2792,"A.C. Moore","Frederick Crossing","7330 Guilford Drive",Frederick,MD,,21704,"(301) 668-3711 ",,39.3425174,-77.3668965,1,"2013-03-27 12:56:15","2013-03-27 12:56:15",NULL,Open,0,NULL,spc041@acmoore.com,41,NULL,NULL,NULL
2793,"A.C. Moore","Silas Creek Crossing","1862 Silas Creek Parkway",Winston-Salem,NC,,27103,"(336) 774-0255 ",,36.0697244,-80.2681591,1,"2013-03-27 12:55:21","2013-03-27 12:55:21",NULL,Open,0,NULL,spc042@acmoore.com,42,NULL,NULL,NULL
2794,"A.C. Moore","The Pavillion at Kings Grant","8066 Concord Mills Blvd.",Concord,NC,,28027," (704) 979-3200 ",,35.3728134,-80.7228627,1,"2013-04-30 01:27:01","2013-04-30 01:27:01",NULL,Open,0,NULL,spc043@acmoore.com,43,NULL,NULL,NULL
2795,"A.C. Moore",,"G-1, 351 North Frontage Road","New London ",CT,,06320,"(860) 447-1277",,41.3705997,-72.1212637,1,"2013-03-27 12:56:25","2013-03-27 12:56:25",NULL,Open,0,NULL,spc044@acmoore.com,44,NULL,NULL,NULL
2796,"A.C. Moore","341-50 South College Road","University Commons Shpg Ctr",Wilmington,"NC ",,28403,"(910) 793-1700",,34.2253022,-77.8710285,1,"2013-03-21 07:26:59","2013-03-21 07:26:59",NULL,Open,0,NULL,spc045@acmoore.com,45,NULL,NULL,NULL
2797,"A.C. Moore","Centre at Hagerstown","17656 Garland Groh Blvd.",Hagerstown,"MD ",,21740,"(301) 739-4888",,39.6548870,-77.7557900,1,"2013-03-21 07:26:33","2013-03-21 07:26:33",NULL,Open,0,NULL,spc046@acmoore.com,46,NULL,NULL,NULL
2798,"A.C. Moore","Lincoln Plaza","2424 Old Lincoln Highway",Langhorne,PA,,19047,"(215) 741-0200  ",,40.1745538,-74.9226665,1,"2013-04-30 01:37:20","2013-04-30 01:37:20",NULL,Open,0,NULL,spc047@acmoore.com,47,NULL,NULL,NULL
2799,"A.C. Moore","Hickory Ridge Shopping Center","1862 Catawba Valley Boulevard, S.E.","Hickory ",0,,28602,"(828) 324-0162 ",,35.6703562,-81.3619402,1,"2013-04-30 01:27:39","2013-04-30 01:27:39",NULL,Open,0,NULL,spc048@acmoore.com,48,NULL,NULL,NULL
2800,"A.C. Moore","Lycoming Mall","529 Lycoming Mall Circle",Pennsdale,PA,,17756,"(570) 546-2540",,41.2431363,-76.7966262,1,"2013-03-21 07:27:28","2013-03-21 07:27:28",NULL,Open,0,NULL,spc049@acmoore.com,49,NULL,NULL,NULL
2801,"A.C. Moore","Styretowne Plaza Shopping Center","1069 Bloomfield Ave",Clifton,NJ,,07012,"(973) 470-8885",,40.8396853,-74.1591907,1,"2013-04-30 01:28:12","2013-04-30 01:28:12",NULL,Open,0,NULL,spc050@acmoore.com,50,NULL,NULL,NULL
2802,"A.C. Moore",,"229 Park Hills Plaza",Altoona,PA,,16602,"(814) 946-9811",,40.5171089,-78.3734841,1,"2013-03-27 12:53:14","2013-03-27 12:53:14",NULL,Open,0,NULL,spc051@acmoore.com,51,NULL,NULL,NULL
2803,"A.C. Moore","Crossroads Plaza","429 Crossroads Plaza",Cary,NC,,27518,"(919) 816-8100",,35.7605433,-78.7358142,1,"2013-03-25 02:45:00","2013-03-25 02:45:00",NULL,Open,0,NULL,spc052@acmoore.com,52,NULL,NULL,NULL
2804,"A.C. Moore","Capital Crossing Shopping Center","4721 Capital Boulevard",Raleigh,NC,,27604,"(919) 871-0260",,35.8479824,-78.5802236,1,"2013-04-30 01:28:37","2013-04-30 01:28:37",NULL,Open,0,NULL,spc053@acmoore.com,53,NULL,NULL,NULL
2805,"A.C. Moore","Southwind Plaza","65 Independence Drive, Route 132",Hyannis,MA,,02601,"(508) 771-7669",,41.6766184,-70.3130715,1,"2013-03-25 02:46:25","2013-03-25 02:46:25",NULL,Open,0,NULL,spc054@acmoore.com,54,NULL,NULL,NULL
2806,"A.C. Moore","Wilton Square ","3037 Route 50","Saratoga Springs",NY,,12866,"(518) 583-4400",,43.1012098,-73.7463805,1,"2013-03-26 07:15:24","2013-03-26 07:15:24",NULL,Open,0,NULL,spc055@acmoore.com,55,NULL,NULL,NULL
2807,"A.C. Moore","204 Emily Drive","East Pointe Shopping Center ",Clarksburg,WV,,26301,"(304) 626-3112",,39.2806451,-80.3445341,1,"2013-04-30 01:37:47","2013-04-30 01:37:47",NULL,Open,0,NULL,spc056@acmoore.com,56,NULL,NULL,NULL
2808,"A.C. Moore","1117 Woodruff Road, Suite I","Plaza at Greenville Mall",Greenville,SC,,29607,"(864) 987-9400",,34.8526176,-82.3940104,1,"2013-04-30 01:38:01","2013-04-30 01:38:01",NULL,Open,0,NULL,spc058@acmoore.com,58,NULL,NULL,NULL
2809,"A.C. Moore","450 Eisenhower Drive",,Hanover,PA,,17331,"(717) 632-9000",,39.8255213,-76.9740765,1,"2013-04-30 01:38:18","2013-04-30 01:38:18",NULL,Open,0,NULL,spc059@acmoore.com,59,NULL,NULL,NULL
2810,"A.C. Moore","Shrewsbury Plaza Shpg Ctr","1030-1060 Broad St., Rt. 35, Suite 100",Shrewsbury,NJ,,07702,"(732) 389-2940",,40.3295547,-74.0615285,1,"2013-03-27 01:28:39","2013-03-27 01:28:39",NULL,Open,0,NULL,spc060@acmoore.com,60,NULL,NULL,NULL
2811,"A.C. Moore","Aviation Plaza Shpg Ctr","641 West Edgar Road",Linden,NJ,,07036,"(908) 523-1205",,40.6218457,-74.2475548,1,"2013-03-28 02:54:05","2013-03-28 02:54:05",NULL,Open,0,NULL,spc061@acmoore.com,61,NULL,NULL,NULL
2812,"A.C. Moore","Columbus Crossing Shpg Ctr","1851 S. Columbus Blvd., Suite F",Philadelphia,PA,,19148,"(215) 465-0930",,39.9234256,-75.1403901,1,"2013-04-01 02:31:40","2013-04-01 02:31:40",NULL,Open,0,NULL,spc062@acmoore.com,62,NULL,NULL,NULL
2813,"A.C. Moore","Maine Crossing Shopping Center","200 Running Hill Road, Suite 1","South Portland",ME,,04106,"(207) 253-5178",,43.6353920,-70.3471330,1,"2013-04-01 02:32:49","2013-04-01 02:32:49",NULL,Open,0,NULL,spc063@acmoore.com,63,NULL,NULL,NULL
2814,"A.C. Moore","Montrose Crossing","12013 Rockville Pike",Rockville,MD,,20852," (301) 881-5081",,39.0537599,-77.1170445,1,"2013-04-01 03:58:58","2013-04-01 03:58:58",NULL,Open,0,NULL,spc064@acmoore.com,64,NULL,NULL,NULL
2815,"A.C. Moore","'The Crossroads Center","5800 Crossroads Center Way","Falls Church",VA,,22041,"(703) 578-1401",,38.8485316,-77.1398878,1,"2013-04-01 07:20:06","2013-04-01 07:20:06",NULL,Open,0,NULL,spc065@acmoore.com,65,NULL,NULL,NULL
2816,"A.C. Moore","Fair City Mall ","9650 Main Street",Fairfax,VA,,22031," (703) 764-2004",,38.8418304,-77.2760653,1,"2013-04-30 01:38:32","2013-04-30 01:38:32",NULL,Open,0,NULL,spc066@acmoore.com,66,NULL,NULL,NULL
2817,"A.C. Moore","The Centre at Deane Hill","250 Morrell Road",Knoxville,TN,,37919,"(865) 539-9767",,35.9238817,-84.0330722,1,"2013-04-01 07:43:01","2013-04-01 07:43:01",NULL,Open,0,NULL,spc067@acmoore.com,67,NULL,NULL,NULL
2818,"A.C. Moore","North Point Plaza","7400 Rivers Avenue, Suite 9001-C","North Charleston",SC,,29406,"(843) 569-3838",,32.8970422,-80.0240501,1,"2013-04-30 01:38:49","2013-04-30 01:38:49",NULL,Open,0,NULL,spc0638@acmoore.com,68,NULL,NULL,NULL
2819,"A.C. Moore","2 Elm Street",,Woburn,MA,,01801,"(781) 938-8391",,42.5006480,-71.1598280,1,"2013-04-30 01:39:02","2013-04-30 01:39:02",NULL,Open,0,NULL,spc069@acmoore.com,69,NULL,NULL,NULL
2820,"A.C. Moore","5075 Morganton Road","Cross Pointe Shopping Center ",Fayetteville,NC,,28314,"(910) 864-5013",,35.0585989,-79.0532061,1,"2013-04-30 01:39:34","2013-04-30 01:39:34",NULL,Open,0,NULL,spc070@acmoore.com,70,NULL,NULL,NULL
2821,"A.C. Moore","179C Hale Road","Manchester Commons ",Manchester,CT,,06040,"(860) 648-0563",,41.8037754,-72.5342931,1,"2013-03-25 02:57:20","2013-03-25 02:57:20",NULL,Open,0,NULL,spc071@acmoore.com,71,NULL,NULL,NULL
2822,"A.C. Moore","2050 Thundering Herd Drive",,Barboursville,WV,,25504,"(304) 736-5185",,38.4211280,-82.2847390,1,"2013-04-30 01:39:19","2013-04-30 01:39:19",NULL,Open,0,NULL,spc072@acmoore.com,72,NULL,NULL,NULL
2823,"A.C. Moore","Pyramid Mall ","40 Catherwood Road, Suite 82","Ithaca             ",NY,,14850,"(607) 257-7870",,42.4439614,-76.5018807,1,"2013-04-30 01:39:50","2013-04-30 01:39:50",NULL,Open,0,NULL,spc073@acmoore.com,73,NULL,NULL,NULL
2824,"A.C. Moore","Mill Creek Mall ","345 Mill Creek Mall","Erie ",PA,,16565,"(814) 864-9220",,42.0722039,-80.0964415,1,"2013-04-30 01:40:08","2013-04-30 01:40:08",NULL,Open,0,NULL,spc074@acmoore.com,74,NULL,NULL,NULL
2825,"A.C. Moore","Birchwood Shopping Center ","3750 Virginia Beach Boulevard, Suite D","Virginia Beach",VA,,23452,"(757) 486-1194",,36.8414110,-76.1021380,1,"2013-04-30 01:40:39","2013-04-30 01:40:39",NULL,Open,0,NULL,spc076@acmoore.com,76,NULL,NULL,NULL
2827,A.C.Moore,"Salem Plaza","271 South Broadway","Salem ",NH,,03079," (603) 893-5935",,42.7613812,-71.2141692,1,"2013-04-30 01:40:53","2013-04-30 01:40:53",NULL,Open,0,NULL,spc079@acmoore.com,79,NULL,NULL,NULL
2828,"A.C. Moore","3670 McKinley Pkwy #1","McKinley Plaza",Blasdell,NY,,14219,"(716) 823-2850",,42.7972810,-78.8233661,1,"2013-04-30 01:41:06","2013-04-30 01:41:06",NULL,Open,0,NULL,spc080@acmoore.com,80,NULL,NULL,NULL
2829,"A.C. Moore","Boulevard Comsumer Square ","1581 Niagara Falls Boulevard",Amherst,NY,,14228,"(716) 834-2290",,42.9974878,-78.8223429,1,"2013-04-30 01:41:18","2013-04-30 01:41:18",NULL,Open,0,NULL,spc081@acmoore.com,81,NULL,NULL,NULL
2830,"A.C. Moore","6520 Carlisle Pike, Suite 365B","Silver Spring Commons ","Mechanicsburg  ",PA,,17050,"(717) 766-1002",,40.2365689,-77.0071013,1,"2013-04-30 01:41:29","2013-04-30 01:41:29",NULL,Open,0,NULL,spc083@acmoore.com,82,NULL,NULL,NULL
2831,"A.C. Moore","541 F Lincoln Street","Lincoln Plaza",Worcester,MA,,01605,"(508) 595-9330",,42.2908394,-71.7833444,1,"2013-04-30 01:41:42","2013-04-30 01:41:42",NULL,Open,0,NULL,spc083@acmoore.com,83,NULL,NULL,NULL
2832,"A.C. Moore","359 Nesconset Highway","Hauppauge Shopping Center ","Hauppauge ",NY,,11788,"(631) 360-6667",,40.8153846,-73.2116584,1,"2013-04-30 01:41:56","2013-04-30 01:41:56",NULL,Open,0,NULL,spc084@acmoore.com,84,NULL,NULL,NULL
2833,"A.C. Moore","3988 Hempstead Turnpike","Plainedge Shopping Center  ","Bethpage ",NY,,11714,"(516) 796-5831",,40.7442664,-73.4820687,1,"2013-04-30 01:42:14","2013-04-30 01:42:14",NULL,Open,0,NULL,spc085@acmoore.com,85,NULL,NULL,NULL
2834,"A.C. Moore","2190 Wilkes-Barre Township Market Place","Wilkes-Barre Township Market Place",Wilkes-Barre,PA,,18702,"(570) 820-0570",,41.2418090,-75.8777446,1,"2013-04-30 01:42:54","2013-04-30 01:42:54",NULL,Open,0,NULL,spc086@acmoore.com,86,NULL,NULL,NULL
2835,"A.C. Moore","Stroud Shopping Center ","1112 N. 9th Street",Stroudsburg,PA,,18360,"(570) 422-6860",,40.9888552,-75.2197517,1,"2013-04-30 01:43:13","2013-04-30 01:43:13",NULL,Open,0,NULL,spc088@acmoore.com,88,NULL,NULL,NULL
2837,"A.C. Moore","Patterson Place ","3615 Witherspoon Blvd, Suite 107",Durham,NC,,27707,"(919) 402-8053",,35.9502170,-78.9885960,1,"2013-04-30 01:43:26","2013-04-30 01:43:26",NULL,Open,0,NULL,spc090@acmoore.com,90,NULL,NULL,NULL
2838,"A.C. Moore","Paramus Place","165 West  Route 4",Paramus,NJ,,07652,"(201) 291-0793",,40.9167576,-74.0569500,1,"2013-04-30 01:44:26","2013-04-30 01:44:26",NULL,Open,0,NULL,spc091@acmoore.com,91,NULL,NULL,NULL
2839,"A.C. Moore","Sudley Town Shopping Center ","7673 Sudley Road ",Manassas,VA,,20109,"(703) 392-5690",,38.7887936,-77.5142908,1,"2013-04-30 01:44:42","2013-04-30 01:44:42",NULL,Open,0,NULL,spc092@acmoore.com,92,NULL,NULL,NULL
2840,"A.C. Moore","Marshall's Mega Store Plaza","3409 Erie Blvd. E., Suite 240",Syracuse,NY,,13214,"(315) 446-2741 ",,43.0470520,-76.0656330,1,"2013-04-30 01:45:01","2013-04-30 01:45:01",NULL,Open,0,NULL,spc093@acmoore.com,93,NULL,NULL,NULL
2841,"A.C. Moore","Shoppes at Bowie Town Center","3861 Evergreen Parkway",Bowie,MD,,20716,"(301) 262-3672",,38.9417658,-76.7355896,1,"2013-04-30 01:45:28","2013-04-30 01:45:28",NULL,Open,0,NULL,spc094@acmoore.com,94,NULL,NULL,NULL
2842,"A.C. Moore","Sun Vet Mall","5801 Sunrise Hwy",Holbrook,NY,,11741,"(631) 567-3821",,40.7941562,-73.0700421,1,"2013-04-30 01:45:40","2013-04-30 01:45:40",NULL,Open,0,NULL,spc095@acmoore.com,95,NULL,NULL,NULL
2843," A.C.Moore","River Ridge Shopping Center ","800 Fairview Road, Suite JJ",Asheville,NC,,28803,"(828) 299-0777",,35.5421019,-82.5294065,1,"2013-04-30 01:45:55","2013-04-30 01:45:55",NULL,Open,0,NULL,spc096@acmoore.com,96,NULL,NULL,NULL
2844,"A.C. Moore","Waldorf Marketplace","3035 Waldorf Market Place",Waldorf,MD,,20603,"(301) 632-5125",,38.6258626,-76.9176412,1,"2013-04-30 01:46:08","2013-04-30 01:46:08",NULL,Open,0,NULL,spc097@acmoore.com,97,NULL,NULL,NULL
2845,"A.C. Moore"," Clocktower Place  ","157 Glen Cove Road ","Carle Place",NY,,11514,"(516) 294-8401 ",,40.7467164,-73.6173328,1,"2013-04-30 01:46:21","2013-04-30 01:46:21",NULL,Open,0,NULL,spc098@acmoore.com,98,NULL,NULL,NULL
2846,"A.C. Moore","1801 South Ave","West Shore Plaza","Staten Island",NY,,10314,"(718) 370-0691",,40.5993996,-74.1900957,1,"2013-04-30 01:46:50","2013-04-30 01:46:50",NULL,Open,0,NULL,spc099@acmoore.com,99,NULL,NULL,NULL
2847,"A.C. Moore","Ashbrook Commons Plaza","20020 Ashbrook Commons Plaza",Ashburn,"VA ",,20147,"(703) 858-9565",,39.0612082,-77.4702600,1,"2013-03-23 05:16:21","2013-03-23 05:16:21",NULL,Open,0,NULL,spc100@acmoore.com,100,NULL,NULL,NULL
2848,"A.C. Moore","Central Park","1833 Carl D Silver Parkway",Fredericksburg,0,,22401,"(540) 785-2949",,38.3048885,-77.4816693,1,"2013-04-30 01:46:37","2013-04-30 01:46:37",NULL,Open,0,NULL,spc102@acmoore.com,102,NULL,NULL,NULL
2849,"A.C. Moore","Mill Creek Power Center","400 Mill Creek Drive",Secaucus,NJ,,07094,"(201) 902-0377",,40.7916319,-74.0502436,1,"2013-04-30 01:47:08","2013-04-30 01:47:08",NULL,Open,0,NULL,spc103@acmoore.com,103,NULL,NULL,NULL
2850,"A.C. Moore","Hanover Mall ","1775 Washington Street",Hanover,0,,02339,"(781) 829-0680",,42.1162217,-70.8476708,1,"2013-04-30 01:47:24","2013-04-30 01:47:24",NULL,Open,0,NULL,spc104@acmoore.com,104,NULL,NULL,NULL
2851,"A.C. Moore","Best Buy Shopping Center ","7 US Highway 9, Suite 11",Manalapan,0,,07726,"(732) 462-8655",,40.2800274,-74.3470170,1,"2013-04-30 01:47:43","2013-04-30 01:47:43",NULL,Open,0,NULL,spc105@acmoore.com,105,NULL,NULL,NULL
2852,"A.C. Moore","Mall of New Hampshire","1500 South Willow Street, Unit N 201",Manchester,NH,,03103,"(603) 621-7160",,42.9561485,-71.4418101,1,"2013-04-30 01:47:57","2013-04-30 01:47:57",NULL,Open,0,NULL,spc106@acmoore.com,106,NULL,NULL,NULL
2853,"A.C. Moore","Bangor Parkade Shopping Center ","510 Stillwater Avenue",Bangor,0,,04401,"(207) 945-5645",,44.8504122,-68.8618617,1,"2013-04-30 01:48:12","2013-04-30 01:48:12",NULL,Open,0,NULL,spc107@acmoore.com,107,NULL,NULL,NULL
